No_Caffeine,Caffeine
0.541152263,0.580246914
0.557613169,0.559670782
0.491769547,0.526748971
0.537037037,0.487654321
0.504115226,0.549382716
0.524691358,0.49382716
0.590534979,0.598765432
0.512345679,0.557613169
0.537037037,0.66872428
0.534979424,0.619341564
0.794238683,0.50617284
0.528806584,0.555555556
0.510288066,0.574074074
0.518518519,0.491769547
0.547325103,0.465020576
0.520576132,0.489711934
0.619341564,0.475308642
0.561728395,0.458847737
0.864197531,0.582304527
0.53909465,0.5
0.53909465,0.5781893
0.504115226,0.510288066
0.549382716,0.49382716
0.549382716,0.559670782
0.520576132,0.559670782
0.520576132,0.576131687
0.502057613,0.502057613
0.541152263,0.559670782
0.541152263,0.50617284
0.497942387,0.565843621
0.532921811,0.580246914
0.518518519,0.5
0.491769547,0.518518519
0.516460905,0.58436214
0.532921811,0.572016461
0.508230453,0.543209877
0.508230453,0.485596708
0.532921811,0.563786008
0.495884774,0.572016461
0.522633745,0.504115226
0.728395062,0.438271605
0.602880658,0.448559671
0.485596708,0.448559671
0.572016461,0.582304527
0.504115226,0.627572016
0.50617284,0.50617284
0.50617284,0.481481481
0.50617284,0.5781893
0.50617284,0.50617284
0.489711934,0.576131687
1,0.563786008
0.547325103,0.534979424
0.497942387,0.485596708
0.547325103,0.559670782
0.522633745,0.526748971
0.524691358,0.532921811
0.497942387,0.504115226
0.530864198,0.604938272
0.541152263,0.522633745
0.489711934,0.512345679
0.528806584,0.528806584
0.522633745,0.537037037
0.635802469,0.510288066
0.483539095,0.58436214
0.526748971,0.736625514
0.526748971,0.504115226
0.526748971,0.555555556
0.530864198,0.551440329
0.520576132,0.520576132
0.514403292,0.397119342
0.495884774,0.49382716
0.5,0.635802469
0.508230453,0.530864198
0.512345679,0.604938272
0.512345679,0.553497942
0.497942387,0.825102881
0.534979424,0.528806584
0.537037037,0.520576132
0.502057613,0.551440329
0.518518519,0.580246914
0.559670782,0.522633745
0.504115226,0.510288066
0.520576132,0.627572016
0.497942387,0.565843621
0.487654321,0.775720165
0.50617284,0.522633745
0.50617284,0.54526749
0.551440329,0.49382716
0.522633745,0.617283951
0.483539095,0.528806584
0.514403292,0.561728395
0.497942387,0.413580247
0.541152263,0.53909465
0.471193416,0.726337449
0.477366255,0.502057613
0.495884774,0.633744856
0.530864198,0.549382716
0.522633745,0.565843621
0.541152263,0.588477366
0.520576132,0.524691358
0.530864198,0.586419753
0.481481481,0.718106996
0.532921811,0.62345679
0.532921811,0.594650206
0.580246914,0.555555556
0.502057613,0.635802469
0.541152263,0.485596708
0.549382716,0.526748971
0.481481481,0.582304527
0.54526749,0.526748971
0.518518519,0.594650206
0.524691358,0.588477366
0.518518519,0.518518519
0.502057613,0.549382716
0.479423868,0.516460905
0.54526749,0.532921811
0.514403292,0.549382716
0.551440329,0.574074074
0.502057613,0.510288066
0.465020576,0.456790123
0.516460905,0.518518519
0.53909465,0.574074074
0.516460905,0.576131687
0.547325103,0.491769547
0.537037037,0.473251029
0.53909465,0.530864198
0.526748971,0.594650206
0.491769547,
0.497942387,
0.491769547,
0.495884774,
0.530864198,
0.516460905,
0.516460905,
0.516460905,
0.516460905,
0.532921811,
0.530864198,
0.520576132,
0.510288066,
0.512345679,
0.502057613,
0.565843621,
0.526748971,
0.520576132,
0.559670782,
0.53909465,
0.530864198,
0.510288066,
0.510288066,
0.532921811,
0.50617284,
0.586419753,
0.534979424,
0.534979424,
0.467078189,
0.514403292,
0.512345679,
0.528806584,
0.551440329,
0.516460905,
0.483539095,
0.567901235,
0.526748971,
0.514403292,
0.53909465,
0.559670782,
0.639917695,
0.502057613,
0.526748971,
0.522633745,
0.530864198,
0.567901235,
0.518518519,
0.520576132,
0.504115226,
0.541152263,
0.541152263,
0.534979424,
0.526748971,
0.510288066,
0.502057613,
0.504115226,
0.479423868,
0.555555556,
0.557613169,
0.508230453,
0.520576132,
0.5,
0.543209877,
0.534979424,
0.512345679,
0.5,
0.532921811,
0.495884774,
0.574074074,
0.514403292,
0.543209877,
0.522633745,
0.534979424,
0.547325103,
0.561728395,
0.541152263,
0.491769547,
0.518518519,
0.565843621,
0.516460905,
0.541152263,
0.526748971,
0.543209877,
0.512345679,
0.510288066,
0.549382716,
0.53909465,
0.572016461,
0.530864198,
0.572016461,
0.530864198,
0.522633745,
0.534979424,
0.520576132,
0.530864198,
0.530864198,
0.526748971,
0.534979424,
0.528806584,
0.557613169,
0.528806584,
0.528806584,
0.569958848,
0.532921811,
0.532921811,
0.53909465,
0.534979424,
0.487654321,
0.522633745,
0.522633745,
0.547325103,
0.528806584,
0.532921811,
0.549382716,
0.522633745,
0.534979424,
0.537037037,
0.497942387,
0.510288066,
0.516460905,
0.508230453,
0.592592593,
0.522633745,
0.526748971,
0.547325103,
0.522633745,
0.516460905,
0.522633745,
0.495884774,
0.397119342,
0.518518519,
0.547325103,
0.530864198,
0.502057613,
0.530864198,
0.561728395,
0.524691358,
0.497942387,
0.518518519,
0.50617284,
0.530864198,
0.543209877,
0.522633745,
0.537037037,
0.518518519,
0.512345679,
0.50617284,
0.724279835,
0.592592593,
0.534979424,
